geo,date_quarter,ddos
HT,2020,88
HT,2020.25,154
HT,2020.5,237
HT,2020.75,80
HT,2021,72
HT,2021.25,32
HT,2021.5,73
HT,2021.75,33
HU,2016.75,201
HU,2017,205
HU,2017.25,280
HU,2017.5,343
HU,2017.75,204
HU,2018,154
HU,2018.25,241
HU,2018.5,239
HU,2018.75,158
HU,2019,172
HU,2019.25,117
HU,2019.5,158
HU,2019.75,200
HU,2020,342
HU,2020.25,353
HU,2020.5,307
HU,2020.75,239
HU,2021,234
HU,2021.25,347
HU,2021.5,134
HU,2021.75,105
ID,2016.75,119
ID,2017,154
ID,2017.25,184
ID,2017.5,210
ID,2017.75,201
ID,2018,131
ID,2018.25,141
ID,2018.5,154
ID,2018.75,242
ID,2019,315
ID,2019.25,362
ID,2019.5,181
ID,2019.75,377
ID,2020,564
ID,2020.25,897
ID,2020.5,941
ID,2020.75,259
ID,2021,140
ID,2021.25,167
ID,2021.5,140
ID,2021.75,50
IE,2016.75,314
IE,2017,309
IE,2017.25,246
IE,2017.5,243
IE,2017.75,374
IE,2018,97
IE,2018.25,318
IE,2018.5,292
IE,2018.75,270
IE,2019,45
IE,2019.25,231
IE,2019.5,276
IE,2019.75,150
IE,2020,154
IE,2020.25,426
IE,2020.5,299
IE,2020.75,184
IE,2021,198
IE,2021.25,317
IE,2021.5,227
IE,2021.75,95
IL,2016.75,98
IL,2017,132
IL,2017.25,232
IL,2017.5,199
IL,2017.75,203
IL,2018,261
IL,2018.25,150
IL,2018.5,271
IL,2018.75,184
IL,2019,207
IL,2019.25,98
IL,2019.5,106
IL,2019.75,131
IL,2020,162
IL,2020.25,181
IL,2020.5,255
IL,2020.75,190
IL,2021,94
IL,2021.25,96
IL,2021.5,153
IL,2021.75,12
IN,2016.75,28
IN,2017,48
IN,2017.25,37
IN,2017.5,42
IN,2017.75,49
IN,2018,39
IN,2018.25,39
IN,2018.5,34
IN,2018.75,249
IN,2019,268
IN,2019.25,52
IN,2019.5,40
IN,2019.75,46
IN,2020,41
IN,2020.25,58
IN,2020.5,44
IN,2020.75,52
IN,2021,36
IN,2021.25,48
IN,2021.5,38
IN,2021.75,13
IQ,2016.75,122
IQ,2017,76
IQ,2017.25,39
IQ,2017.5,167
IQ,2017.75,193
IQ,2018,47
IQ,2018.25,50
IQ,2018.5,96
IQ,2018.75,153
IQ,2019,200
IQ,2019.25,294
IQ,2019.5,246
IQ,2019.75,239
IQ,2020,167
IQ,2020.25,115
IQ,2020.5,195
IQ,2020.75,199
IQ,2021,324
IQ,2021.25,155
IQ,2021.5,77
IQ,2021.75,117
IR,2016.75,108
IR,2017,143
IR,2017.25,194
IR,2017.5,91
IR,2017.75,175
IR,2018,124
IR,2018.25,211
IR,2018.5,193
IR,2018.75,112
IR,2019,181
IR,2019.25,321
IR,2019.5,375
IR,2019.75,334
IR,2020,441
IR,2020.25,256
IR,2020.5,489
IR,2020.75,553
IR,2021,284
IR,2021.25,116
IR,2021.5,149
IR,2021.75,31
IS,2016.75,0
IS,2017,145
IS,2017.25,108
IS,2017.5,107
IS,2017.75,94
IS,2018,42
IS,2018.25,0
IS,2018.5,87
IS,2018.75,0
IS,2019,0
IS,2019.25,45
IS,2019.5,0
IS,2019.75,85
IS,2020,78
IS,2020.25,0
IS,2020.5,0
IS,2020.75,0
IS,2021,92
IS,2021.25,0
IS,2021.5,0
IS,2021.75,0
IT,2016.75,238
IT,2017,278
IT,2017.25,310
IT,2017.5,237
IT,2017.75,206
IT,2018,236
IT,2018.25,164
IT,2018.5,170
IT,2018.75,155
IT,2019,281
IT,2019.25,242
IT,2019.5,242
IT,2019.75,609
IT,2020,353
IT,2020.25,370
IT,2020.5,284
IT,2020.75,439
IT,2021,258
IT,2021.25,292
IT,2021.5,165
IT,2021.75,66
JM,2016.75,0
JM,2017,0
JM,2017.25,0
JM,2017.5,0
JM,2017.75,65
JM,2018,0
JM,2018.25,0
JM,2018.5,63
JM,2018.75,64
JM,2019,120
JM,2019.25,0
JM,2019.5,0
JM,2019.75,56
JM,2020,52
JM,2020.25,0
JM,2020.5,150
JM,2020.75,131
JM,2021,44
JM,2021.25,44
JM,2021.5,94
JM,2021.75,0
JO,2016.75,155
